review,rating
"""Was having a very difficult time controlling my blood sugar.  My A1C reached 9.1 and I was hospitalized for three days, then sent to an endocrinologist.  He put me on Victoza 1.8ML once a day and an Invokana 300MG once a day.  Within 2 three months I was at 5.9 A1C and average 110 blood sugar.  I have lost close to 40 lbs.  There have been some side effects, constipation, cramping, and thirst.  These have all faded and become less extreme after being on the combo for just over 6 months.  I would never change this medication.  It truly has changed my life.  Had to change insurance this year and it was a battle to get the Invokana approved but they relented. Thank goodness.  FYI  I have taken, Glipizide, Glimerpride, Metformin, Actos and Insulin.""",1
"""The key to using Alli is that you must list everything you eat and not exceed the amount of fat per meal.  I haven&#039;t experienced any side effects and am extremely pleased.  I lost 10 pounds before starting the program and hit a plateau, but since using Alli, I&#039;ve lost 27 more with only 13 pounds to go.  When I reach my ideal weight, I&#039;m going to continue the tracking, eventually weaning myself off of Alli, to be able to maintain my weight.  I don&#039;t expect a quick transition, but love the results.  I recommend trying it, but be diligent to follow the instructions for good results.""",1
"""I have been on this pill for about 5 months now. I still have a period even though you aren&#039;t supposed to get one with this pill. My periods used to be 3-4 days but now they&#039;re a long 7-8 days. My periods were regular but now they are irregular. But as for birth control, this works pretty well. I take it every day at the same time and have never missed a pill. I do feel nauseated when I take it without a meal. I&#039;ve always had hormonal acne but it has not made it any worse. The only con to this pill is that you feel bloated all the time. I&#039;ve had unprotected sex and protected sex with this pill and have had no babies.""",1
"""All I can say is WOW! After the birth of my son, I developed insomnia and anxiety. I placed a lot of pressure on myself to get enough sleep and the result was not being able to sleep. In addition, I have very high expectations of myself. I work from home and was studying at the time. From this, I caused so much anxiety for myself to the point where I couldn&#039;t control my thoughts and feelings. I was prescribed Zoloft which probably made me more anxious and I was on that for a year. My GP switched me to Lexapro 4 months ago.  On this med I feel like a different person. Happy, no anxious thoughts, I am sleeping like a log and am dreaming! I haven&#039;t dreamt in years and it&#039;s lovely! I have had no side effects on this drugs :)""",1
"""I&#039;m 46, my face broke out a little. it wasn&#039;t that bad, but I wanted my face clear like it use to be. Now after using Aczone once a day for four weeks my face looks bad. My doctor wants to see me in another four weeks. I have it&#039;s been another two weeks and my face looks bad.""",0
"""Taking 30mg daily now for insomnia.  Best medicine  I have ever taken for insomnia.  When I took my first 30mg pill it worked great.  Maybe too good.  I slept 8 hours and if I didn&#039;t have any repsonsibilities it felt like I could sleep another 4 hours.  I had to drag myself out of bed, but it still was a quality sleep.  I started taking as needed but at lower does.  3.4mg, 7.5mg, 15mg.  Seems to have a long half-life so some days I didn&#039;t take at all and it still worked.  After awhile the effects started wearing off so I started taking 30mg every day for about a month now and it seems to be still working.  I tried to increase to 45mg but at that dose it seems not work for sleep anymore.  The maximum I can take for sleep is 30mg.""",1
"""It&#039;s a life saver for me.  Chronic sinus problem that occurs twice a year.  Slight stomach issues after initial dose.  Knocks out brain fog.  Had the best night sleep in months.  Always take with food, and you will have no issues.  Made me feel 90% better 24 hours after initial dosage.  Use with Flonase to open passages to help get it all.  Only thing that works for my sinus problems.""",1
"""I was on this pill after I finished breast feeding, and I had lots of problems with break-through bleeding, every month. I was on Lo Ovral for 9 years prior to having a baby and didn&#039;t experience the problems I have with Loestrin. """,0
"""I have been taking Belviq for 5 days and have lost 6 pounds effortlessly. I have an injury and can&#039;t exercise. I have tried everything under the sun to loose weight before. I am getting married in May and need to loose 50 lbs plus. Plan on being on this med indefinitely. And for $200/ month out of pocket, its worth it to me!!!! Good luck, and God bless!""",1
"""I am 30 years old. I had a multiple composite spinal injuries 15 years ago. The aches and pains unbearable. I started taking anti-inflammatories about 2 years ago. I started getting injections every month of Toradol and &quot;Depo&quot; something. I am almost off all pain meds I mean I still have bad days but I can function again.""",1
"""I have two boys they are 2 years and 15 days apart. The day I got the Mirena inserted there was some pain with the procedure but by the end of the day it was gone. I have been bleeding heavy and light since and its been 2 1/2 weeks now. I have noticed hair loss, increase in appetite, and mood swings.""",1
"""This product is just terrific. I can eat ice cream without heating it.  It&#039;s a  great product that I highly recommend. I&#039;ve tried many of the other prescription options available and this is by far the best.  It needs some good marketing to spread the good word about how it can help people.""",1
"""The first two days of taking the medicine, I experienced body aches all over, headaches, thus, I took aspirin in the evening to try to alleviate the pain.  The third day and beyond, I felt/feel more energized, no headaches, no backaches, mental clarity, and just relieved.  I say you have to give the medicine time to kick in and get in your system. I am thankful.""",1
"""I like Implanon for the most part. I have been on it for about a year and a half. I have gained about 5 lbs or so and I continue to have periods. They last for about 8 to 10 days but they are light and I get them every couple of months. I have noticed that my breasts are very tender and I haven&#039;t seen others talk about that. Anyone else have that problem?""",1
"""I love it. No side effects. My periods have only been when I regulate them with pills. I have been on it for a year and 9 months and I&#039;m not pregnant.""",1
"""So I&#039;m on my second week with Mirena. I&#039;m 26 and have never had a child, so insertion was horrible. I consider myself to have a pretty high pain tolerance, but this sent me for a loop. I got dizzy and clammy and almost passed out. Thankfully my best friend was with me and was able to talk me through it and drive my ass around for the day. The after cramps weren&#039;t unbearable, but still very uncomfortable. I only spotted for a few days afterwards. Last week was a breeze. I had no problems at all. Last night I started feeling cramping, like I was dreaming and could feel them in my dreams. I woke up this morning and the cramps were super intense. I got to work and too about 1,000 mg of ibuprofen because they were bad.""",0
"""Hi all , I&#039;ve been giving sertraline 50mg and quetiapine 25mg for my anxiety . I&#039;m at a stage of my life now where this is eating me up . I&#039;m 31 and had these issues for about 5 years . They all started after my mum passed away , never suffered before her passing . Everyday I feel I&#039;m going to die of a heart attack , I keep getting these pains in my chest but all the doctors say it&#039;s anxiety . The question is does anyone know what can help reduce my fears because this is effecting my relationship with my wife and my son ..... Many thanks to all who have taken time to read this""",0
"""That was so strange. I gave up smoking after 10 years with the help of Effexor.""",1
"""I have mood swings and had 8 months non-stop spotting with  loss of sex drive all together.""",0
"""I just got this inserted yesterday, and wow after reading a lot of these reviews I almost didn&#039;t go to my appointment. It was not bad at all. I never get cramps during my periods so I didn&#039;t know what I was expecting. I also got my finger pricked and to me that hurt more than the insertion! During the procedure I just felt pressure on my stomach and it felt like I was about to go to the bathroom. After everything was done they gave me a panty liner just in case I bled. I went home and just had a small stomach ache. I have had no spotting whatsoever. I worked out perfectly today and walked my puppy out yesterday :) I&#039;m honestly so surprised that I have no pain or no side effects yet. I&#039;ll keep updating!""",1
"""I have only been on this med for two and a half weeks and have already lost eight pounds!  Before I started taking Contrave, losing weight was an impossibility.  I am on meds that make me gain weight and I tend to binge eat.  I am now making healthy choices and my portions are half of what they used to be and I feel full.  Sometimes I notice a bad side effect. But the overall effect of this medication has been great!  I have less depression and more motivation.  Even my light workouts are better.  I feel so pumped to see what the course of treatment brings!  Losing weight for me is priceless.  I have fatty liver disease, high blood pressure and a back injury.  All would be a lot better if I lost weight.  So far so good!""",1
"""Was prescribed this medication while in the US Virgin Islands, for UTI. Doctor prescribe me 7 days worth two pills each day. I&#039;ve been taking the prescribed dose and have not felt much better except for one full the day before yesterday. I&#039;m back in the States now and I&#039;m continuing to take the medication since you should not start taking your antibiotics unless your doctor tells you to but I am going to go to my family doctor tomorrow and figure out why I&#039;m now peeing blood and have small bloody deposits when I urinate.""",0
